id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code
26982,YESP,medium_airport,Esperance Airport,-33.684399,121.822998,470.0,OC,AU,AU-WA,Esperance,yes,EPR
31025,YEVA,small_airport,Eva Downs Airport,-18.0009994507,134.863006592,876.3950140449438,OC,AU,AU-NT,Eva Downs,no,EVD
26983,YEVD,small_airport,Evans Head Aerodrome,-29.101786,153.419255,20.0,OC,AU,AU-NSW,Unknown,no,EVH
342792,YEWA,medium_airport,Eliwana,-22.428395,116.887879,1576.0,OC,AU,AU-WA,Unknown,no,WHB
27560,YEXM,small_airport,Exmouth Airport,-22.040677,114.102663,876.3950140449438,OC,AU,AU-WA,Exmouth,no,EXM
26984,YFBS,medium_airport,Forbes Airport,-33.363602,147.934998,760.0,OC,AU,AU-NSW,Forbes,no,FRB
301103,YFDF,small_airport,Fortescue - Dave Forrest Aerodrome,-22.290754,119.437143,1555.0,OC,AU,AU-WA,Cloudbreak Village,no,KFE
27562,YFIL,small_airport,Finley Airport,-35.658918,145.561214,380.0,OC,AU,AU-NSW,Unknown,no,FLY
27563,YFLI,small_airport,Flinders Island Airport,-40.091702,147.992996,10.0,OC,AU,AU-TAS,Whitemark,yes,FLS
38353,YFLO,small_airport,Flora Valley Airport,-18.297844,128.455897,876.3950140449438,OC,AU,AU-WA,Unknown,no,FVL
38354,YFLS,small_airport,Flinders Island Airport,-33.730989,134.501,876.3950140449438,OC,AU,AU-SA,Unknown,no,FLS
31129,YFNE,small_airport,Finke Airport,-25.5946998596,134.582992554,876.3950140449438,OC,AU,AU-NT,Finke,no,FIK
26985,YFRT,medium_airport,Forrest Airport,-30.83662,128.112811,511.0,OC,AU,AU-WA,Unknown,no,FOS
312900,YFRV,small_airport,Oombulgurri Airport,-15.1647,127.8401,22.0,OC,AU,AU-WA,Oombulgurri,no,FVR
27571,YFST,small_airport,Forster (Wallis Is) Airport,-32.202489,152.481136,4.0,OC,AU,AU-NSW,Unknown,no,FOT
507156,YFTL,heliport,Fremantle Heliport,-32.045149,115.733022,10.0,OC,AU,AU-WA,Fremantle,no,JFM
26986,YFTZ,medium_airport,Fitzroy Crossing Airport,-18.183596,125.559783,368.0,OC,AU,AU-WA,Unknown,yes,FIZ
27573,YFVW,small_airport,Fairview Airport,-32.790693,148.723778,876.3950140449438,OC,AU,AU-NSW,Unknown,no,ZFW
347519,YGA,small_airport,Yongchuan Da'an General Airport,29.356667,106.010441,1131.0,AS,CN,CN-50,Chongqing,no,YGA
27576,YGAM,small_airport,Gamboola Airport,-16.54412,143.668155,876.3950140449438,OC,AU,AU-QLD,Gamboola,no,GBP
26987,YGAY,small_airport,Gayndah Airport,-25.615939,151.62055,369.0,OC,AU,AU-QLD,Gayndah,no,GAH
27579,YGBI,small_airport,South Goulburn Is Airport,-11.65,133.382004,19.0,OC,AU,AU-NT,Unknown,no,GBL
26989,YGDH,medium_airport,Gunnedah Airport,-30.957511,150.248981,863.0,OC,AU,AU-NSW,Unknown,no,GUH
26990,YGDI,small_airport,Goondiwindi Airport,-28.5214,150.320007,714.0,OC,AU,AU-QLD,Unknown,no,GOO
31519,YGDN,small_airport,Gordon Downs Airport,-18.6781005859375,128.5919952392578,800.0,OC,AU,AU-WA,Gordon Downs,no,GDD
27582,YGDS,small_airport,Gregory Downs Airport,-18.625,139.23300170898438,52.0,OC,AU,AU-QLD,Unknown,no,GGD
27584,YGDW,small_airport,Granite Downs Airport,-26.948299,133.606995,337.0,OC,AU,AU-SA,Unknown,no,GTS
317733,YGE,seaplane_base,Gorge Harbour Seaplane Base,50.0994,-125.0235,0.0,NA,CA,CA-BC,Gorge Harbour,no,YGE
26991,YGEL,medium_airport,Geraldton Airport,-28.796101,114.707001,121.0,OC,AU,AU-WA,Moonyoonooka,yes,GET
26992,YGFN,medium_airport,Clarence Valley Regional Airport,-29.754795,153.031234,110.0,OC,AU,AU-NSW,Grafton,no,GFN
319713,YGIA,small_airport,Ginbata Airport,-22.5812,120.03553,1409.0,OC,AU,AU-WA,Ginbata,no,GBW
27591,YGIB,small_airport,Gibb River Airport,-16.418661,126.445685,509.0,OC,AU,AU-WA,Gibb,no,GBV
